Q1 
K used: 5 
Total number of iterations : 32 
Iteration number |  J 
1 |  566895960.70 
2 |  381948043.27 
3 |  291244699.77 
4 |  281525953.16 
5 |  279425994.41 
6 |  278058490.85 
7 |  277035035.99 
8 |  276200863.07 
9 |  275554396.68 
10 |  275111480.51 
11 |  274859543.65 
12 |  274711349.98 
13 |  274621325.40 
14 |  274575050.00 
15 |  274551215.89 
16 |  274540033.43 
17 |  274535236.53 
18 |  274531428.75 
19 |  274528914.40 
20 |  274527608.02 
21 |  274526901.37 
22 |  274526176.70 
23 |  274525998.36 
24 |  274525792.60 
25 |  274525696.06 
26 |  274525602.74 
27 |  274525493.14 
28 |  274525434.05 
29 |  274525405.98 
30 |  274525396.69 
31 |  274525390.65 
Time duration: 65.684721 seconds
===============================================
